Section,Start,End,,,,,,,,,,,,,,,,,,,,,,
1.1,3,36,,,,,,,,,,,,,,,,,,,,,,
1.2,37,46,,,,,,,,,,,,,,,,,,,,,,
1.3,47,48,,,,,,,,,,,,,,,,,,,,,,
1.4,49,60,,,,,,,,,,,,,,,,,,,,,,
2.1,63,90,,,,,,,,,,,,,,,,,,,,,,
2.2,91,118,,,,,,,,,,,,,,,,,,,,,,
2.3,119,130,,,,,,,,,,,,,,,,,,,,,,
2.4,131,150,,,,,,,,,,,,,,,,,,,,,,
2.5,151,152,,,,,,,,,,,,,,,,,,,,,,
2.6,153,156,,,,,,,,,,,,,,,,,,,,,,
2.7,157,190,,,,,,,,,,,,,,,,,,,,,,
2.8,191,212,,,,,,,,,,,,,,,,,,,,,,
2.9,213,222,,,,,,,,,,,,,,,,,,,,,,
3.1,225,246,,,,,,,,,,,,,,,,,,,,,,
3.2,247,266,,,,,,,,,,,,,,,,,,,,,,
3.3,267,288,,,,,,,,,,,,,,,,,,,,,,
3.4,289,310,,,,,,,,,,,,,,,,,,,,,,
3.5,311,320,,,,,,,,,,,,,,,,,,,,,,
3.6,321,326,,,,,,,,,,,,,,,,,,,,,,
3.7,327,348,,,,,,,,,,,,,,,,,,,,,,
3.8,349,364,,,,,,,,,,,,,,,,,,,,,,
4.1,367,398,,,,,,,,,,,,,,,,,,,,,,
4.2,399,416,,,,,,,,,,,,,,,,,,,,,,
4.3,417,422,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Section,1.1,1.2,1.3,1.4,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,4.1,4.2,4.3
Start,3,37,47,49,63,91,119,131,151,153,157,191,213,225,247,267,289,311,321,327,349,367,399,417
End,36,46,48,60,90,118,130,150,152,156,190,212,222,246,266,288,310,320,326,348,364,398,416,422
